text,label
Transfer PROSCAR TAB and ELASTIC BANDAGE/4/ANTIMICROBIAL MIS prescription to another location at buffalo grove location,internal_rx_transfer
I am leaving today I need my QC CHILDRENS ALLERGY SOL and GNP ISOPROPYL ALCOHOL SOL in the next 2 hours,rx_expedite
How do I use a coupon for the pharmacy at BLUE ISLAND?,store_faq
Can I get a Meningitis-(Group B)  vaccine appointment at a health fair?,create_vaccine_appointment
I have a question about a side effects from my RA COL-RITE CAP and FT GAS RELIEF EXTRA STRENGTH CHW?,drug_side_effects
How much do they cost for WW DIGITAL - V2 (50%) MIS and CERVIDIL MIS?,rx_drug_price
was supposed to have SALMON/OATS/SQUASH LIQ and CLICKFINE PEN NEEDLE 32GX5/32 PEN delivered they didn't get delivered?,rx_delivery
do I need a prescription for ONE-A-DAY WOMENS PETITES TAB and GNP EARWAX REMOVAL DROPS SOL?,drug_information
do you have Mpox ,available_vaccine
Can you provide driving directions to the store at 06877?,store_directions
I need my prescription for TRIPHROCAPS CAP and INDERAL LA CAP refilled.,rx_refill
this is Practitioner from doctor's office  We need to report an adverse reaction to RELION INSULIN SYRINGE 1ML/31GX15/64 MIS.,healthcare
MAXI-COMFORT INSULIN SYRINGE/U-100/0.5ML/28GX1/2 MIS and DERMOPLAST FIRST AID SPR prescription with canceled I need to speak to someone?,rx_cancel
may I speak to pharmacist please,live_pharmacist
What's the status of my PANADOL INFANT SUS and FLUBLOK QUADRIVALENT 2022-2023 INJ prescription?,rx_status
Pardon?,rephrase
what time does the store open at 1616 SHERMAN AVE,store_hours
cancellation for a ULTICARE INSULIN SYRINGE/1ML/30G X 1/2 SYN and FLAVOXATE HCL TAB?,rx_cancel
how much is SYRINGE/LUER LOCK/3ML/20G X 1-1/2 MIS and FT STOMACH RELIEF SUS?,rx_drug_price
I want to find out about KETOVIE PEPTIDE LIQ and DROPLET PEN NEEDLES 32G X 5/32 MIS?,drug_information
I filled a prescription for MEDI-PADS PAD and BECONASE AQ SPR? and it says take 1 capsule by mouth 3 times a day how many hours is that that I should take it?,drug_dosage_instructions
Can you provide the time zone for the store at 4343 CYPRESSWOOD RD..?,store_timezone
Can you give me the address for the pharmacy in 28204?,store_address
Physician i am from doctors office  Patient patient needs clarification on the proper use of TRIFLURIDINE SOL.,healthcare
that's an old prescription I need the pharmacy,live_pharmacist
request OYSTER SHELL CALCIUM PLUSVITAMIN D TAB and AK-POLY-BAC OIN medicine earlier than today,rx_expedite
expedite refill of ZONISAMIDE CAP and CYANOCOBALAMIN SPR?,rx_expedite
yes but MARY ESTHER time the store is open time zone,store_timezone
PEPCID AC TAB and IDELVION SOL delivery to my apartment in silver Spring.Phyllis?,rx_delivery
a prescription says cannot fill,rx_action_notes_status
Can you provide the store fax number at 4645 AIRPORT BLVD?,store_faq
I need to know if the store at FOWLER city is accessible from the road,store_directions
question about cost of UNASYN INJ and FLORAJEN4KIDS CAP?,rx_drug_price
speak to a pharmacist to cancel a L-SERINE POW and ADAPALENE/BENZOYL PEROXIDE PUM?,rx_cancel
Where is the nearest pharmacy in CREVE COEUR?,store_address
I would like you to transfer METAMUCIL WAF and CALMOSEPTINE OIN prescription to a walmart pharmacy that does have it please,external_rx_transfer
wanting to see if you have a SUPER PROBIOTIC DIGESTIVE SUPPORT CAP and GNP INSULIN SYRINGES/1ML/30GX5/16 MIS in stock?,drug_availability
Resto refill refill,rx_refill
Delivery is late for VABOMERE INJ and CURITY ELASTIC BANDAGE/REMOVABLE CLIP 2X4-1/8YD MIS?,rx_delivery
When will LIDOCAINE HCL/HYDROCORTISONE ACETATE KIT and GNP TAB TUSSIN DM TAB be filled?,drug_availability
She did medication status,rx_status
I do not accept alternative to ONE-A-DAY VITACRAVES WOMENS MULTI CHW and B-2 TAB. If you don’t have it  tell me so I may use alternate Pharmacy for this prescription. Let me know asap.,external_rx_transfer
Are Hepatitis-A & B  and Hepatitis-A & B  vaccines in stock?,available_vaccine
What does JOHNSONS BABY BAR BAR treat for?,drug_information
can you tell me when I had my Meningitis  shot vaccine last month,get_vaccine_appointment
medical instructions of the NITRO-DUR DIS and COMFORT TOUCH PEN NEEDLES/31G X 6 MM MIS? instruction,drug_dosage_instructions
What are the store hours at 1215 SOUTH KIHEI RD. SUITE B?,store_faq
yes I would like to know how much it would cost to get my WAL-PHED PE SINUS/ALLERGY TAB and CRUTCH UNDERARM PADS MIS?,rx_drug_price
I'm going to hold.  and I will hold for a while.,hold_on
Please fill asap my MVW COMPLETE FORMULATION MINIS CAP and CRANBERRY W/ VITAMIN C CAP I’m in pain?,rx_expedite
that's the only 1 I need right now,thank
i am provider What is the cost of TECHLITE PEN NEEDLES/32G X 8MM MIS?,healthcare
transfer a UNILET EXCELITE MIS and INBRIJA CAP prescription to Florida another Pharmacy,external_rx_transfer
what is the cost to me of my VENLAFAXINE BESYLATE ER TAB and EASYMAX V BLOOD GLUCOSE SYSTEM MIS prescriptions to be picked up today?,rx_drug_price
When is my Rx foong,rx_status
I need a refill for my VENALIV TAB and GNP PRENATAL TAB.,rx_refill
Is there a problem with this NEW IMAGE CONVEX SKIN BARRIER 70MM WAF and CO Q-10 PLUS L-CARNITINE CAP?,rx_action_notes_status
I'd like to refill prescription name NYAMYC POW and ACYCLOVIR CAP,rx_refill
need to talk to a pharmacist about if a OYSTER SHELL CALCIUM + VITAMIN D TAB and ELREXFIO INJ  are in refrigerator or not?,drug_information
please tell me the timezone for the store at DALLAS,store_timezone
discuss about the ROBITUSSIN SEVERE COUGH/SORE THROAT LIQ and B-SURE WITCH HAZEL PADS PAD  drug information?,drug_information
can you tell me when the Pharmacy opens again,store_hours
PHENYL-FREE 2 POW and CASPOFUNGIN ACETATE INJ? instructions,drug_dosage_instructions
okay wait 1 second please,hold_on
Is the store at 95648 in the CST time zone?,store_timezone
Do you have a drug takeback program at the store in 910 COURT STREET?,store_faq
What is the proper dosage for VASCULERA TAB and CINNAMON CAP?,drug_dosage_instructions
I need to expedite a SUDOGEST MAXIMUM STRENGTH TAB and GOODSENSE GENTLE STOOL SOFTENER CAP refill,rx_expedite
Physician from doctor's office  Patient patient is having an allergic reaction to SPIROMETER KIT KIT.,healthcare
Does my plan cover LAMOTRIGINE TAB and ACTICON TAB?,drug_insurance_coverage
I'm calling to check if the pharmacy has a LOTRIMIN ULTRA CRE and BETADINE OPHTHALMIC PREP SOL medication?,drug_availability
discuss about the SURE-FINE PEN NEEDLES 29GX1/2 12.7MM MIS and CAPRYLIC/CAPRIC TRIGLYCERIDES LIQ  drug information?,drug_information
hello  i am nurse  Is there a patient counseling sheet available for WRIST SPLINT/NEOPRENE/LEFT/MEDIUM MIS?,healthcare
Transfer PILL PLANNER/WEEKLY/UV BLOCKING/LARGE MIS and ALLERGY RELIEF CAP prescription to 24,internal_rx_transfer
Practitioner from office  What are the storage requirements for TESTOSTERONE TOPICAL SOLUTION SOL?,healthcare
I do not accept alternative to UNIFINE PENTIPS 33GX4MM PEN and DUREX REALFEEL NON-LATEX MIS. If you don’t have it  tell me so I may use alternate Pharmacy for this prescription. Let me know asap.,external_rx_transfer
Please mail SM MAGNESIUM TAB and COMPLETE ALLERGY RELIEF TAB?,rx_delivery
To take TARINA FE 1/20 TAB and ACCU-CHEK SOFTCLIX LANCETDEVICE KIT DEV   what are instructions?,drug_dosage_instructions
question about a AUTOSOFT 30 INFUSION SET/43/13MM MIS,drug_information
Can I cancel my HPV-(Quadrivalent)  vaccine appointment at the pediatric clinic?,cancel_vaccine_appointment
How many refills remain on my PROFERRIN-FORTE TAB and CALMOSEPTINE OIN?,rx_refill
How do I cancel my Dtap DT  vaccine appointment at the vision insurance plan?,cancel_vaccine_appointment
question about how often I can take medicaNEFAZODONE HYDROCHLORIDE TAB and EASY TOUCH TUBERCULIN SHEATHLOCK SAFETY SYRINGE 1ML/25GX5/8 MIS ?tion that I'm using to prep for my issue?,drug_dosage_instructions
what's the cost of OFFSET CANE/BLUE ICE/300LB CAPACITY MIS and GNP ANTACID ULTRA STRENGTH CHW and OFFSET CANE/BLUE ICE/300LB CAPACITY MIS and GNP ANTACID ULTRA STRENGTH CHW?,rx_drug_price
I need my MOTION SICKNESS RELIEF CHW and CLEOCIN SUP prescription soon  I need it today,rx_expedite
no can you get my Flu  vaccination appointments on march 15th,get_vaccine_appointment
I need all PREGABALIN POW and FLUBLOK QUADRIVALENT 2021-2022 INJ and PREGABALIN POW and FLUBLOK QUADRIVALENT 2021-2022 INJ filled today that are due?,rx_expedite
What are the billing procedures at ALAMEDA?,store_faq
How do I confirm the cancellation of my RSV-(Respiratory Syncytial Virus)  vaccine appointment?,cancel_vaccine_appointment
prescriptions status talk to the pharmacist,rx_status
Is there a box for expired prescriptions at the store in CULVER CITY?,store_faq
I'm trying to transfer my QC ANTI-NAUSEA SOL and EASYMAX NG SELF-MONITORING BLOOD GLUCOSE SYSTEM MIS to a different Pharmacy,external_rx_transfer
Can I schedule a Flu  vaccine appointment for a home visit?,create_vaccine_appointment
Please repeat. again  please,rephrase
Is the Typhoid  vaccine available for walk-in appointments?,available_vaccine
Would you mind repeating? a little louder,rephrase
okay feedback on this service this AI is terrible I hate this system bye,thank
I would like to cancel an HPV-(9valent)  immunization appointment,cancel_vaccine_appointment
I have not received a confirmation email or text about my upcoming HPV-(9valent)  vaccine appointment,get_vaccine_appointment
